symbol,price
EOSBUSD,0.63400000
IOTXUSDT,0.04161000
RLCUSDT,1.54100000
MCOUSDT,2.74400000
XLMBUSD,0.11970000
ADABUSD,0.63740000
CTXCBNB,0.00412200
CTXCBTC,0.00000317
CTXCUSDT,0.21760000
BCHBNB,0.61200000
BCHBTC,0.00536500
BCHUSDT,367.30000000
BCHUSDC,367.20000000
BCHTUSD,322.00000000
BCHPAX,617.72000000
BCHBUSD,236.00000000
BTCRUB,3900027.00000000
ETHRUB,181477.60000000
XRPRUB,56.31000000
BNBRUB,22422.22000000
TROYBNB,0.00001060
TROYBTC,0.00000018
TROYUSDT,0.00146700
BUSDRUB,90.39000000
QTUMBUSD,2.53700000
VETBUSD,0.02120000
VITEBNB,0.00070700
VITEBTC,0.00000018
VITEUSDT,0.01250000
FTTBNB,0.00513000
FTTBTC,0.00008560
FTTUSDT,2.02240000
BTCTRY,2350426.00000000
BNBTRY,20582.00000000
BUSDTRY,29.33000000
ETHTRY,90754.00000000
XRPTRY,18.77000000
USDTTRY,34.35000000
USDTRUB,91.10000000
BTCEUR,62952.65000000
ETHEUR,2431.23000000
BNBEUR,551.40000000
XRPEUR,0.50300000
EURBUSD,1.07570000
EURUSDT,1.08660000
OGNBNB,0.00038300
OGNBTC,0.00000130
OGNUSDT,0.08930000
DREPBNB,0.00009380
DREPBTC,0.00000039
DREPUSDT,0.02560000
BULLUSDT,1370.28000000
BULLBUSD,1368.56000000
BEARUSDT,11.16000000
BEARBUSD,11.14000000
ETHBULLUSDT,79.18000000
ETHBULLBUSD,78.46000000
ETHBEARUSDT,12.20000000
ETHBEARBUSD,12.24000000
TCTBNB,0.00041860
TCTBTC,0.00000016
TCTUSDT,0.00312000
WRXBNB,0.00039800
WRXBTC,0.00000455
WRXUSDT,0.12120000
ICXBUSD,0.16420000
BTSUSDT,0.00540000
BTSBUSD,0.01930000
LSKUSDT,0.82500000
BNTUSDT,0.51820000
BNTBUSD,0.35990000
LTOBNB,0.00248000
LTOBTC,0.00000177
LTOUSDT,0.12140000
ATOMBUSD,11.21900000
DASHBUSD,25.83000000
NEOBUSD,6.73000000
WAVESBUSD,2.21600000
XTZBUSD,0.67100000
EOSBULLUSDT,3.85000000
EOSBULLBUSD,3.90000000
EOSBEARUSDT,30.21000000
EOSBEARBUSD,29.81000000
XRPBULLUSDT,8.74000000
XRPBULLBUSD,8.78000000
XRPBEARUSDT,548.55000000
XRPBEARBUSD,547.33000000
BATBUSD,0.17090000
ENJBUSD,0.26070000
NANOBUSD,2.22500000
ONTBUSD,0.15740000
RVNBUSD,0.01525000
STRATBUSD,0.49150000
STRATBNB,0.01900000
STRATUSDT,0.49040000
AIONBUSD,0.07210000
AIONUSDT,0.00943000
MBLBNB,0.00001202
MBLBTC,0.00000005
MBLUSDT,0.00283600
COTIBNB,0.00021230
COTIBTC,0.00000145
COTIUSDT,0.09959000
ALGOBUSD,0.20710000
BTTBUSD,0.00277800
TOMOBUSD,1.78070000
XMRBUSD,170.20000000
ZECBUSD,25.50000000
BNBBULLUSDT,57.21000000
BNBBULLBUSD,58.37000000
BNBBEARUSDT,58.61000000
BNBBEARBUSD,57.21000000
STPTBNB,0.00067000
STPTBTC,0.00000066
STPTUSDT,0.04500000
BTCZAR,1224877.00000000
ETHZAR,47310.00000000
BNBZAR,5000.00000000
USDTZAR,17.91000000
BUSDZAR,18.85000000
BTCBKRW,42029197.00000000
ETHBKRW,1277799.00000000
BNBBKRW,44687.00000000
WTCUSDT,0.01030000
DATABUSD,0.02344000
DATAUSDT,0.03625000
XZCUSDT,4.44600000
SOLBNB,0.25860000
SOLBTC,0.00226410
SOLUSDT,154.94000000
SOLBUSD,74.62000000
BTCIDRT,693891182.00
BNBIDRT,4286985.00
USDTIDRT,15528.00
BUSDIDRT,14389.00
CTSIBTC,0.00000188
CTSIUSDT,0.12830000
CTSIBNB,0.00079830
CTSIBUSD,0.16420000
HIVEBNB,0.00429000
HIVEBTC,0.00000292
HIVEUSDT,0.19990000
CHRBNB,0.00043770
CHRBTC,0.00000270
CHRUSDT,0.18520000
BTCUPUSDT,16.60000000
BTCDOWNUSDT,0.00118500
GXSUSDT,1.79230000
ARDRUSDT,0.08609000
ERDBUSD,0.01966100
LENDUSDT,0.51431000
HBARBUSD,0.06020000
MATICBUSD,0.86590000
WRXBUSD,0.11050000
ZILBUSD,0.01583000
MDTBNB,0.00073720
MDTBTC,0.00000063
MDTUSDT,0.04299000
STMXBTC,0.00000016
STMXETH,0.00000292
STMXUSDT,0.00564600
KNCBUSD,0.63700000
KNCUSDT,0.45710000
REPBUSD,13.67300000
REPUSDT,4.73000000
LRCBUSD,0.17280000
LRCUSDT,0.12930000
IQBNB,0.00002243
IQBUSD,0.00502000
PNTBTC,0.00000864
PNTUSDT,0.03500000
BTCGBP,35986.75000000
ETHGBP,1974.32000000
XRPGBP,0.52570000
BNBGBP,267.40000000
GBPBUSD,1.23900000
DGBBTC,0.00000009
DGBBUSD,0.00632000
BTCUAH,3000944.00000000
USDTUAH,43.84000000
COMPBTC,0.00066800
COMPBNB,5.71900000
COMPBUSD,45.79000000
COMPUSDT,45.65000000
BTCBIDR,1042508253.00
ETHBIDR,47041943.00
BNBBIDR,3335250.00
BUSDBIDR,15559.00
USDTBIDR,15980.00
BKRWUSDT,0.00084530
BKRWBUSD,0.00084550
SCUSDT,0.00500700
ZENUSDT,8.14000000
SXPBTC,0.00000379
SXPBNB,0.00044000
SXPBUSD,0.37210000
SNXBTC,0.00002116
SNXBNB,0.01057000
SNXBUSD,1.93600000
SNXUSDT,1.44900000
ETHUPUSDT,11.65100000
ETHDOWNUSDT,0.04570000
ADAUPUSDT,0.10400000
ADADOWNUSDT,0.00191700
LINKUPUSDT,0.00608000
LINKDOWNUSDT,0.00089500
VTHOBNB,0.00000673
VTHOBUSD,0.00071800
VTHOUSDT,0.00183700
DCRBUSD,16.03500000
DGBUSDT,0.00680000
GBPUSDT,1.18000000
STORJBUSD,0.23710000
SXPUSDT,0.25960000
IRISBNB,0.00166200
IRISBTC,0.00000022
IRISBUSD,0.06080000
MKRBNB,6.90300000
MKRBTC,0.01765000
MKRUSDT,1205.00000000
MKRBUSD,1293.00000000
DAIBNB,0.04876000
DAIBTC,0.00008966
DAIUSDT,1.01890000
DAIBUSD,1.01810000
RUNEBNB,0.00839400
RUNEBTC,0.00007372
RUNEBUSD,5.46200000
MANABUSD,0.43880000
DOGEBUSD,0.09742000
LENDBUSD,0.51530000
ZRXBUSD,0.16890000
DCRUSDT,12.68000000
STORJUSDT,0.62980000
XRPBKRW,319.76000000
ADABKRW,327.55000000
BTCAUD,37210.08000000
ETHAUD,2565.09000000
AUDBUSD,0.72550000
FIOBNB,0.00017080
FIOBTC,0.00000044
FIOBUSD,0.01922000
BNBUPUSDT,61.80000000
BNBDOWNUSDT,0.00215100
XTZUPUSDT,0.00255100
XTZDOWNUSDT,2.60010000
AVABNB,0.00218800
AVABTC,0.00000725
AVABUSD,0.47000000
USDTBKRW,1125.00000000
BUSDBKRW,1097.18000000
IOTABUSD,0.14310000
MANAUSDT,0.33770000
XRPAUD,0.70000000
BNBAUD,421.10000000
AUDUSDT,0.72520000
BALBNB,0.42580000
BALBTC,0.00003122
BALBUSD,3.15000000
YFIBNB,82.19000000
YFIBTC,0.07300000
YFIBUSD,5325.00000000
YFIUSDT,5001.00000000
BLZBUSD,0.05530000
KMDBUSD,0.46760000
BALUSDT,2.06200000
BLZUSDT,0.12820000
IRISUSDT,0.01492000
KMDUSDT,0.25530000
BTCDAI,68379.83000000
ETHDAI,2641.97000000
BNBDAI,561.90000000
USDTDAI,1.00020000
BUSDDAI,1.00000000
JSTBNB,0.00021850
JSTBTC,0.00000045
JSTBUSD,0.02103000
JSTUSDT,0.03029000
SRMBNB,0.00084000
SRMBTC,0.00001523
SRMBUSD,0.03530000
SRMUSDT,0.24442000
ANTBNB,0.01764000
ANTBTC,0.00014320
ANTBUSD,4.30300000
ANTUSDT,7.40700000
CRVBNB,0.00687000
CRVBTC,0.00000388
CRVBUSD,0.50410000
CRVUSDT,0.26530000
SANDBNB,0.00066800
SANDBTC,0.00000410
SANDUSDT,0.28150000
SANDBUSD,0.32610000
OCEANBNB,0.00104400
OCEANBTC,0.00000964
OCEANBUSD,0.28480000
OCEANUSDT,0.61230000
NMRBTC,0.00021880
NMRBUSD,11.43000000
NMRUSDT,14.98000000
DOTBNB,0.00720000
DOTBTC,0.00006280
DOTBUSD,7.37300000
DOTUSDT,4.31100000
LUNABNB,0.00000019
LUNABTC,0.00000001
LUNABUSD,0.94420000
LUNAUSDT,0.36990000
IDEXBTC,0.00000054
IDEXBUSD,0.04879000
RSRBNB,0.00000852
